sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,curvature,dw_v_max,dw_v_min,dw_w_max,dw_w_min,v_reg
1768319286,367682351,-1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.008667,0.0,0.008667,0.0,0,,,,,,,,,,-0.0,0.008667,0.0,0.016667,-0.016667,0.26
1768319286,400654098,-1e-06,0.0,0.0,0.0,0.0,0.008667,0.0,0.017333,0.0,0.017333,0.0,0,,,,,,,,,,-0.0,0.017333,0.0,0.016667,-0.016667,0.26
1768319286,433916473,7e-05,0.0,0.0,0.006767,0.0,0.017333,0.0,0.026,0.0,0.026,0.0,0,,,,,,,,,,-0.0,0.026,0.008667,0.016667,-0.016667,0.26
1768319286,467278712,0.000534,0.0,0.0,0.018867,0.0,0.026,0.0,0.034667,0.0,0.034667,0.0,0,,,,,,,,,,-0.0,0.034667,0.017333,0.016667,-0.016667,0.26
1768319286,501002586,0.000967,0.0,0.0,0.021667,0.0,0.034667,0.0,0.043333,0.0,0.043333,0.0,0,,,,,,,,,,-0.0,0.043333,0.026,0.016667,-0.016667,0.26
1768319286,533869634,0.0019,0.0,0.0,0.028167,0.0,0.043333,0.0,0.052,0.0,0.052,0.0,0,,,,,,,,,,-0.0,0.052,0.034667,0.016667,-0.016667,0.26
1768319286,567404800,0.002592,0.0,0.0,0.034667,0.0,0.052,0.0,0.060667,0.0,0.060667,0.0,0,,,,,,,,,,-0.0,0.060667,0.043333,0.016667,-0.016667,0.26
1768319286,600570669,0.004356,0.0,0.0,0.047667,0.0,0.060667,0.0,0.069333,0.0,0.069333,0.0,0,,,,,,,,,,-0.0,0.069333,0.052,0.016667,-0.016667,0.26
1768319286,633905076,0.005465,0.0,0.0,0.059667,0.0,0.069333,0.0,0.078,0.0,0.078,0.0,0,,,,,,,,,,-0.0,0.078,0.060667,0.016667,-0.016667,0.26
1768319286,667669427,0.007947,0.0,0.0,0.066167,0.0,0.078,0.0,0.086667,0.0,0.086667,0.0,0,,,,,,,,,,-0.0,0.086667,0.069333,0.016667,-0.016667,0.26
1768319286,700640620,0.009417,0.0,0.0,0.073667,0.0,0.086667,0.0,0.095333,0.0,0.095333,0.0,0,,,,,,,,,,-0.0,0.095333,0.078,0.016667,-0.016667,0.26
1768319286,734300829,0.012481,0.0,0.0,0.083867,0.0,0.095333,0.0,0.104,0.0,0.104,0.0,0,,,,,,,,,,-0.0,0.104,0.086667,0.016667,-0.016667,0.26
1768319286,767456206,0.016103,0.0,0.0,0.098667,0.0,0.104,0.0,0.112667,0.0,0.112667,0.0,0,,,,,,,,,,-0.0,0.112667,0.095333,0.016667,-0.016667,0.26
1768319286,800566111,0.018097,0.0,0.0,0.099667,0.0,0.112667,0.0,0.121333,0.0,0.121333,0.0,0,,,,,,,,,,-0.0,0.121333,0.104,0.016667,-0.016667,0.26
1768319286,833819269,0.020181,0.0,0.0,0.108167,0.0,0.121333,0.0,0.13,0.0,0.13,0.0,0,,,,,,,,,,-0.0,0.13,0.112667,0.016667,-0.016667,0.26
1768319286,867179614,0.024766,0.0,0.0,0.120167,0.0,0.13,0.0,0.138667,0.0,0.138667,0.0,0,,,,,,,,,,-0.0,0.138667,0.121333,0.016667,-0.016667,0.26
1768319286,900505331,0.027279,0.0,0.0,0.125667,0.0,0.138667,0.0,0.147333,0.0,0.147333,0.0,0,,,,,,,,,,-0.0,0.147333,0.13,0.016667,-0.016667,0.26
1768319286,933812021,0.032449,0.0,0.0,0.137167,0.0,0.147333,0.0,0.156,0.0,0.156,0.0,0,,,,,,,,,,-0.0,0.156,0.138667,0.016667,-0.016667,0.26
1768319286,967174253,0.035222,0.0,0.0,0.138667,0.0,0.156,0.0,0.164667,0.0,0.164667,0.0,0,,,,,,,,,,-0.0,0.164667,0.147333,0.016667,-0.016667,0.26
1768319287,543903,0.041081,0.0,0.0,0.151667,0.0,0.164667,0.0,0.173333,0.0,0.173333,0.0,0,,,,,,,,,,-0.0,0.173333,0.156,0.016667,-0.016667,0.26
1768319287,33849486,0.047472,0.0,0.0,0.164667,0.0,0.173333,0.0,0.182,0.0,0.182,0.0,0,,,,,,,,,,-0.0,0.182,0.164667,0.016667,-0.016667,0.26
1768319287,67524019,0.050766,0.0,0.0,0.164667,0.0,0.182,0.0,0.190667,0.0,0.190667,0.0,0,,,,,,,,,,-0.0,0.190667,0.173333,0.016667,-0.016667,0.26
1768319287,100848235,0.057716,0.0,0.0,0.177667,0.0,0.190667,0.0,0.199333,0.0,0.199333,0.0,0,,,,,,,,,,-0.0,0.199333,0.182,0.016667,-0.016667,0.26
1768319287,133894055,0.061387,0.0,0.0,0.187867,0.0,0.199333,0.0,0.208,0.0,0.208,0.0,0,,,,,,,,,,-0.0,0.208,0.190667,0.016667,-0.016667,0.26
1768319287,167194701,0.069079,0.0,0.0,0.197167,0.0,0.208,0.0,0.216667,0.0,0.216667,0.0,0,,,,,,,,,,-0.0,0.216667,0.199333,0.016667,-0.016667,0.26
1768319287,200566038,0.077225,0.0,0.0,0.203667,0.0,0.216667,0.0,0.225333,0.0,0.225333,0.0,0,,,,,,,,,,-0.0,0.225333,0.208,0.016667,-0.016667,0.26
1768319287,233904924,0.081415,0.0,0.0,0.213867,0.0,0.225333,0.0,0.234,0.0,0.234,0.0,0,,,,,,,,,,-0.0,0.234,0.216667,0.016667,-0.016667,0.26
1768319287,267660953,0.090225,0.0,0.0,0.228167,0.0,0.234,0.0,0.242667,0.0,0.242667,0.0,0,,,,,,,,,,-0.0,0.242667,0.225333,0.016667,-0.016667,0.26
1768319287,301022167,0.094818,0.0,0.0,0.229667,0.0,0.242667,0.0,0.251333,0.0,0.251333,0.0,0,,,,,,,,,,-0.0,0.251333,0.234,0.016667,-0.016667,0.26
1768319287,334084068,0.104317,0.0,0.0,0.242667,0.0,0.251333,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.242667,0.016667,-0.016667,0.26
1768319287,367646512,0.10917,0.0,0.0,0.242667,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.251333,0.016667,-0.016667,0.26
1768319287,400818565,0.119254,0.0,0.0,0.255667,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.251333,0.016667,-0.016667,0.26
1768319287,433898666,0.124442,0.0,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.251333,0.016667,-0.016667,0.26
1768319287,467593125,0.134842,0.0,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.251333,0.016667,-0.016667,0.26
1768319287,500654059,0.140042,0.0,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.251333,0.016667,-0.016667,0.26
1768319287,534191124,0.150442,0.0,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.251333,0.016667,-0.016667,0.26
1768319287,567562570,0.155642,0.0,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.251333,0.016667,-0.016667,0.26
1768319287,600603957,0.166042,0.0,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.251333,0.016667,-0.016667,0.26
1768319287,634226421,0.171242,0.0,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0.26,0.0,0,,,,,,,,,,-0.0,0.26,0.251333,0.016667,-0.016667,0.26
